AltersgruppeID;Altersgruppe;Bundesland;BundeslandID;AnzEinwohner;Geschlecht;Anzahl;AnzahlGeheilt;AnzahlTot
1;<5;Burgenland;1;6271;M;136;133;0
1;<5;Burgenland;1;5908;W;127;126;0
1;<5;Kärnten;2;12224;M;185;183;0
1;<5;Kärnten;2;11683;W;166;164;0
1;<5;Niederösterreich;3;40492;M;601;596;0
1;<5;Niederösterreich;3;38354;W;496;493;0
1;<5;Oberösterreich;4;39650;M;604;600;0
1;<5;Oberösterreich;4;37428;W;477;474;0
1;<5;Salzburg;5;14528;M;261;259;0
1;<5;Salzburg;5;13799;W;213;211;0
1;<5;Steiermark;6;29066;M;585;583;0
1;<5;Steiermark;6;27485;W;588;586;0
1;<5;Tirol;7;19768;M;493;490;0
1;<5;Tirol;7;18326;W;402;401;0
1;<5;Vorarlberg;8;11200;M;275;274;0
1;<5;Vorarlberg;8;10560;W;267;266;0
1;<5;Wien;9;50897;M;1267;1224;0
1;<5;Wien;9;48196;W;1181;1137;0
1;<5;Österreich;10;224096;M;4407;4342;0
1;<5;Österreich;10;211739;W;3917;3858;0
2;5-14;Burgenland;1;13528;M;816;806;0
2;5-14;Burgenland;1;12962;W;739;727;0
2;5-14;Kärnten;2;26135;M;1307;1305;0
2;5-14;Kärnten;2;24667;W;1213;1201;0
2;5-14;Niederösterreich;3;84399;M;4754;4711;0
2;5-14;Niederösterreich;3;80034;W;4436;4391;0
2;5-14;Oberösterreich;4;76223;M;4373;4331;0
2;5-14;Oberösterreich;4;72202;W;3975;3941;0
2;5-14;Salzburg;5;27260;M;2121;2105;0
2;5-14;Salzburg;5;26109;W;1918;1901;0
2;5-14;Steiermark;6;56981;M;2791;2783;1
2;5-14;Steiermark;6;53566;W;2488;2481;0
2;5-14;Tirol;7;36954;M;2763;2742;0
2;5-14;Tirol;7;35185;W;2566;2555;0
2;5-14;Vorarlberg;8;21371;M;1141;1139;1
2;5-14;Vorarlberg;8;20345;W;1108;1106;0
2;5-14;Wien;9;92739;M;6586;6438;1
2;5-14;Wien;9;86565;W;5833;5707;0
2;5-14;Österreich;10;435590;M;26652;26360;3
2;5-14;Österreich;10;411635;W;24276;24010;0
3;15-24;Burgenland;1;14211;M;1230;1219;0
3;15-24;Burgenland;1;13131;W;1021;1012;0
3;15-24;Kärnten;2;28406;M;2738;2711;0
3;15-24;Kärnten;2;26320;W;2383;2365;0
3;15-24;Niederösterreich;3;89919;M;8302;8228;1
3;15-24;Niederösterreich;3;83156;W;7396;7337;0
3;15-24;Oberösterreich;4;83998;M;8470;8401;0
3;15-24;Oberösterreich;4;78239;W;8179;8107;0
3;15-24;Salzburg;5;31568;M;4121;4083;0
3;15-24;Salzburg;5;29388;W;3722;3691;0
